model	file	W2_statistic	p_value
GTR20+C60fix+R3-PMSF	seq_52.fa_gap.sitewise_entropy.txt	4.160283e-01	6.556807e-02
GTR20+C60fix+R3-PMSF	seq_53.fa_gap.sitewise_entropy.txt	5.315895e-01	3.314521e-02
GTR20+C60fix+R3-PMSF	seq_54.fa_gap.sitewise_entropy.txt	3.423723e-01	1.031632e-01
GTR20+C60fix+R3-PMSF	seq_55.fa_gap.sitewise_entropy.txt	3.136547e-01	1.238018e-01
GTR20+C60fix+R3-PMSF	seq_56.fa_gap.sitewise_entropy.txt	4.823153e-02	8.874446e-01
GTR20+C60fix+R3-PMSF	seq_57.fa_gap.sitewise_entropy.txt	1.894053e-02	9.979483e-01
GTR20+C60fix+R3-PMSF	seq_58.fa_gap.sitewise_entropy.txt	2.769201e-01	1.572832e-01
GTR20+C60fix+R3-PMSF	seq_59.fa_gap.sitewise_entropy.txt	4.122955e-02	9.271688e-01
GTR20+C60fix+R3-PMSF	seq_6.fa_gap.sitewise_entropy.txt	2.521442e-01	1.857035e-01
GTR20+C60fix+R3-PMSF	seq_60.fa_gap.sitewise_entropy.txt	2.371443e-01	2.057909e-01
GTR20+C60fix+R3-PMSF	seq_61.fa_gap.sitewise_entropy.txt	5.236874e-01	3.469918e-02
GTR20+C60fix+R3-PMSF	seq_62.fa_gap.sitewise_entropy.txt	3.159300e-01	1.220087e-01
GTR20+C60fix+R3-PMSF	seq_63.fa_gap.sitewise_entropy.txt	1.686813e-01	3.375122e-01
GTR20+C60fix+R3-PMSF	seq_64.fa_gap.sitewise_entropy.txt	3.005504e-01	1.347226e-01
GTR20+C60fix+R3-PMSF	seq_65.fa_gap.sitewise_entropy.txt	3.113537e-02	9.726049e-01
GTR20+C60fix+R3-PMSF	seq_66.fa_gap.sitewise_entropy.txt	1.561125e-01	3.716637e-01
GTR20+C60fix+R3-PMSF	seq_67.fa_gap.sitewise_entropy.txt	1.573543e-01	3.681091e-01
GTR20+C60fix+R3-PMSF	seq_68.fa_gap.sitewise_entropy.txt	7.124732e-02	7.444266e-01
GTR20+C60fix+R3-PMSF	seq_69.fa_gap.sitewise_entropy.txt	1.201793e-01	4.949895e-01
